
2024/03/19 (22:42:23) | ===> btop++ v.1.3.0
2024/03/19 (22:42:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/19 (22:42:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/22 (22:40:25) | ===> btop++ v.1.3.0
2024/03/22 (22:40:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/22 (22:40:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/28 (02:45:50) | ===> btop++ v.1.3.0
2024/03/28 (02:45:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/28 (02:45:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/30 (01:46:12) | ===> btop++ v.1.3.0
2024/03/30 (01:46:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/30 (01:46:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/31 (23:10:26) | ===> btop++ v.1.3.0
2024/03/31 (23:10:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/31 (23:10:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/10 (02:46:21) | ===> btop++ v.1.3.2
2024/04/10 (02:46:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (02:46:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/14 (01:08:48) | ===> btop++ v.1.3.2
2024/04/14 (01:08:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/14 (01:08:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/17 (14:42:03) | ===> btop++ v.1.3.2
2024/04/17 (14:42:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/17 (14:42:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (22:54:42) | ===> btop++ v.1.3.2
2024/04/18 (22:54:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (22:54:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/22 (22:00:36) | ===> btop++ v.1.3.2
2024/04/22 (22:00:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (22:00:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/23 (15:54:31) | ===> btop++ v.1.3.2
2024/04/23 (15:54:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/23 (15:54:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/23 (16:10:42) | ===> btop++ v.1.3.2
2024/04/23 (16:10:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/23 (16:10:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/23 (19:02:48) | ===> btop++ v.1.3.2
2024/04/23 (19:02:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/23 (19:02:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/23 (19:03:01) | ===> btop++ v.1.3.2
2024/04/23 (19:03:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/23 (19:03:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/23 (20:10:03) | ===> btop++ v.1.3.2
2024/04/23 (20:10:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/23 (20:10:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/23 (22:47:17) | ===> btop++ v.1.3.2
2024/04/23 (22:47:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/23 (22:47:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/24 (15:44:03) | ===> btop++ v.1.3.2
2024/04/24 (15:44:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/24 (15:44:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/24 (15:49:45) | ===> btop++ v.1.3.2
2024/04/24 (15:49:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/24 (15:49:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/24 (15:49:48) | ===> btop++ v.1.3.2
2024/04/24 (15:49:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/24 (15:49:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
